〓〓	0000000342-001	0000001603-002	0000004077-003	0000004077-007	0000006054-001	0000006214-003	0000007127-007
アヤフキコトルイランノゴトシ	0000000756-030
アヤフキヲミテハメイヲイタス	0000000756-031
アヤマチテアラタメザルコレヲアヤマチトイウ	0000007505-037
アヤマチテアラタメザルコレヲアヤマチトイフ	0000007505-037
アヤマチテハスナハチアラタムルニハバカルコトナカレ	0000007505-038
アヤマチテハスナワチアラタムルニハバカルコトナカレ	0000007505-038
アヤマチヲカザル	0000007505-039
アヤマチヲフタタビセズ	0000007505-040
アヤマッテジンモウノウチニオツ	0000006909-021
アヤマッテヂンマウノウチニオツ	0000006909-021
アユ	0000007994-041	0000008410-012
アユツイショウ	0000007994-042
アラカン	0000007994-043
アラキ	0000006121-020
アラタニモクスルモノハカナラズカンムリヲハジキアラタニヨクスルモノハカナラズコロモヲフルウ	0000002883-046
アラタニモクスルモノハカナラズカンムリヲハジキアラタニヨクスルモノハカナラズコロモヲフルフ	0000002883-046
アラユル	0000002488-026
アリアケ	0000003050-034
アリウ	0000000079-010
アリガタシ	0000003050-043
アリシヨ	0000001188-015
アリュウ	0000000079-010
アルイハ	0000002465-002
アルモノ	0000002465-002
アロ	0000008731-006
アワセカガミ	0000000852-006
アワレムベシ	0000000824-007	0000002430-004
アヲウ	0000007994-005
アヲハコレヲアヰヨリトリテアヰヨリモアヲシ	0000008156-089
アンアイ	0000007960-001	0000008903-001
アンアン	0000002952-001	0000002973-001	0000002985-001
アンアンリ	0000002985-002
アンイ	0000001615-001
アンイツ	0000001615-002
アンイフ	0000001615-032
アンウン	0000002985-003
アンウンテイメイ	0000002985-004
アンエイ	0000002985-005
アンオン	0000001615-027
アンカ	0000006631-006
アンカウ	0000001615-007	0000001615-008	0000002985-012	0000003183-004
アンカン	0000001615-003	0000008191-001
アンガ	0000002952-002	0000005667-001
アンガウ	0000002985-013
アンガフ	0000002985-014
アンキ	0000001615-004	0000001615-005	0000002952-003	0000002985-006	0000002985-007	0000003183-001	0000006947-001
アンキョ	0000001615-006	0000002985-008
アンキョウ	0000008191-002
アンギャ	0000006631-014
アンクヮウソエイ	0000002985-011
アンクン	0000002985-010
アング	0000002985-009
アングウ	0000006631-017
アングヮ	0000005667-001
